あ	12901
育	58046
飲	80
印	13824
鍵	8
歓	573
願	10337
翫	0
着	54156
郷	7507
嬌	36
犬	702
顧	1204
護	54779
好	15638
国	806693
妻	10547
児	25172
愁	934
書	86237
傷	16542
称	17903
誦	26
性	260965
情	84417
人	282795
図	18787
惜	155
染	22758
想	96732
柄	14884
調	88524
槌	3
手	230649
悼	4324
読	6531
馬	11473
判	105124
撫	57
服	18621
慕	225
棒	836
間	284609
宿	4573
用	278693
欲	16224
楽	26585
路	38933
話	104379
う	1119623
鉛	545
々	106486
い	2198961
息	8790
木	16680
ぐ	80010
草	3616
雲	1374
筋	2131
空	39446
田	18082
菜	8784
葉	56816
物	85173
色	30735
子	135871
字	85274
線	49434
土	23388
恥	32
旗	4910
帽	544
き	128091
風	17365
口	50367
作	65393
く	1281784
意	144062
運	6229
疫	3736
縁	3218
行	308121
業	445533
事	292056
食	22928
疾	0
質	56903
習	36107
臭	1614
心	143834
政	87575
税	82934
戦	97462
銭	3736
玉	4548
天	3035
党	139142
童	10174
徳	2614
日	277151
罵	14
筆	9882
評	14955
病	7830
文	40150
弊	746
癖	780
魔	2431
名	54855
夢	1027
役	27939
友	3877
辣	74
霊	4391
力	325702
例	44620
け	342967
げ	9517
こ	135061
ご	793
さ	46319
ざ	4215
霞	143
霧	413
瀬	270
漬	2
露	7666
寝	1180
飯	1315
晩	1201
緑	1160
夕	936
し	73726
じ	55785
跡	20565
音	19469
軽	775
首	21426
蹴	272
気	179080
芸	9724
腰	2589
駄	1379
代	152349
長	449674
場	461905
早	488
者	232121
弱	2196
す	1027311
屋	12454
ぜ	26453
水	30679
然	80877
び	59771
ぶ	192041
だ	86314
討	79239
か	184397
波	10721
花	3745
数	108208
株	203
っ	609
板	12439
延	1346
化	182521
紙	30941
漢	334
巻	876
鬼	41
搾	9
死	13835
縮	24393
勝	59278
制	124899
旋	489
倒	7941
迫	8925
み	101703
湯	3012
え	107167
て	14533
と	109429
足	85442
味	66017
方	243353
先	25924
産	122727
目	86240
倉	404
蔵	10950
上	144312
貴	598
嫁	4327
御	3335
の	1128614
汗	158
絵	2256
呆	701
ま	50761
柿	53
傘	210
辛	111
皮	3778
具	13429
栗	7
酒	3655
寺	490
戸	6535
樋	1
り	350240
る	6862456
棚	1016
む	312426
地	196234
ち	206132
つ	281998
ゆ	751
諛	4
漁	1618
ら	106110
ラ	543
磯	20
海	11613
壁	4875
た	135077
め	515697
繩	0
野	51997
明	207981
様	31201
流	50307
れ	543412
わ	1856
粒	339
雪	5243
ん	429486
易	51387
逸	129
影	17084
価	104929
火	24663
外	130052
閑	83
危	7
記	27660
脚	2155
渠	16
宮	3943
君	1416
件	171863
号	14815
合	263294
黒	1013
殺	21597
算	108079
示	64101
室	22612
住	18550
出	199666
礁	1032
静	4350
全	40316
打	14711
泰	317
澹	33
置	120031
直	5945
定	449367
転	53956
堵	181
闘	13490
燈	37
内	194809
に	69169
寧	398
穏	587
排	0
否	30103
部	245805
分	240692
法	120764
摩	11
幕	14047
眠	2382
黙	2759
夜	21317
躍	17489
涙	64
圧	17353
安	45220
員	301157
院	175718
液	6210
主	60158
元	50349
炎	3330
黄	1052
下	100278
科	18899
が	99756
階	40103
骸	278
嚇	1078
学	156500
型	46131
観	12222
管	13477
冠	817
憾	1605
棄	18021
儀	30989
義	40729
議	297946
境	93364
教	19398
局	82064
重	32591
英	1065
十	143287
雛	5
成	148373
千	27420
多	465
度	305298
百	39725
苗	733
勲	1271
訓	4728
敬	2753
簀	2
見	114899
憲	7123
厳	1808
後	271019
碁	2875
降	41345
功	23451
効	20750
光	18218
向	97457
骨	5584
恨	602
言	120435
才	2785
細	4220
彩	5354
散	26370
酸	1827
志	7761
思	16276
址	26
師	70350
持	99938
臼	21
垣	1032
識	74427
工	25722
畳	236
段	25414
失	17729
橋	7806
仏	1334
謝	8921
趣	234
種	26115
集	56752
術	92938
匠	2990
裳	38
常	46659
状	41964
嘱	1083
植	17758
信	64557
新	24185
勢	127536
籍	19269
説	51570
前	212522
相	313226
候	7409
ぎ	14612
族	85706
辺	40401
存	44221
体	197776
大	107495
託	14616
塀	81
端	12707
円	1118
往	64
隅	1244
期	155157
座	23960
時	110067
次	5735
巡	907
団	59509
同	52106
二	2816
任	149060
念	83587
番	19446
別	75593
瞥	19
望	59167
抹	173
命	44747
面	126445
中	82353
腸	1839
覧	3562
利	70254
理	181304
律	27542
立	215918
塁	14582
連	184909
家	102529
角	8431
喝	162
括	14121
貫	5708
揆	158
計	54668
己	14111
考	10881
刻	10312
佐	2266
切	10450
昨	840
式	90209
周	1035
瞬	2629
緒	8424
笑	3425
生	159068
身	67834
睡	367
世	10403
閃	5
層	13819
掃	4485
帯	34503
脱	5996
旦	121
致	35022
朝	6720
徹	439
等	9049
派	16655
半	45656
般	42671
品	148396
変	12700
片	3106
で	399570
狄	10
