○　	日,か　
○あ	ああ,ああ	キャア,きゃあ	ギャア,ぎゃあ	さあ,さあ	じゃあ,じゃあ	ドア,どあ	なあ,なあ	はあ,はあ	ばあ,ばあ	バー,ばあ	パー,ぱあ	まあ,まあ	やあ,やあ	わあ,わあ	ワア,わあ
○あい	汚穢,おあい	気合,きあい	具合,ぐあい	試合,しあい	慈愛,じあい	自愛,じあい	手合,てあい	度合,どあい	似合い,にあい	場合,ばあい	悲哀,ひあい	歩合,ぶあい	見合い,みあい	やあい,やあい
○あいがしら	出会い頭,であいがしら
○あいそう	無愛想,ぶあいそう
○あう	出会う,であう	似合う,にあう	見合う,みあう
○あか	手垢,てあか	湯垢,ゆあか
○あかし	夜明かし,よあかし
○あかす	サーカス,さあかす
○あがり	仕上がり,しあがり	値上がり,ねあがり	湯あがり,ゆあがり	湯上がり,ゆあがり
○あがる	仕上がる,しあがる	干上がる,ひあがる
○あき	目明き,めあき
○あく	邪悪,じゃあく	粗悪,そあく	把握,はあく	マーク,まあく
○あくとう	アーク燈,ああくとう
○あくほおす	ダークホース,だあくほおす
○あくる	サークル,さあくる
○あけ	夜明け,よあけ
○あけっと	マーケット,まあけっと
○あけまえ	夜明け前,よあけまえ
○あげ	仕上げ,しあげ	荷上げ,にあげ	値上げ,ねあげ
○あげる	蹴上げる,けあげる	しあげる,しあげる	仕上げる,しあげる	見上げる,みあげる	ラーゲル,らあげる
○あさあ	さあさあ,さあさあ
○あさって	しあさって,しあさって
○あさま	かあさま,かあさま
○あさん	かあさん,かあさん	ばあさん,ばあさん
○あざあ	ざあざあ,ざあざあ
○あし	おあし,おあし	素足,すあし	手足,てあし	出足,であし
○あしす	オアシス,おあしす
○あしまとい	手足まとい,てあしまとい
○あしゃあ	しゃあしゃあ,しゃあしゃあ
○あじ	サージ,さあじ	パージ,ぱあじ
○あじい	ジャージー,じゃあじい
○あじゃあ	じゃあじゃあ,じゃあじゃあ
○あじゃん	マージャン,まあじゃん
○あじん	マージン,まあじん
○あす	アース,ああす	ダース,だあす
○あずけ	お預け,おあずけ
