あいくるしい	愛くるしい
あおがえる	あおがえる
あおむける	あおむける
あかでみい	アカデミー
あかとんぼ	あかとんぼ
あからさま	あからさま
あかんべい	あかんべい
あきすねらい	空巣ねらい
あきたりる	飽き足りる
あきっぽい	飽きっぽい
あきどまり	あきどまり
あきらめる	あきらめる
あきれかえる	あきれ返る
あきれすけん	アキレス腱
あくせんと	アクセント
あげおろし	上げ下ろし
あけくれる	明け暮れる
あけのみょうじょう	明けの明星
あけはなす	あけはなす
あけはなつ	あけはなつ
あげひばり	あげひばり
あけひろげ	あけひろげ
あこがれる	あこがれる
あざわらう	あざわらう
あしからず	あしからず
あじけない	あじけない
あしざまに	あしざまに
あしてまとい	足手まとい
あずけいれる	預け入れる
あすぴりん	アスピリン
あせちれん	アセチレン
あせてえと	アセテート
あそびくらす	遊び暮らす
あたまでっかち	頭でっかち
あたりさわり	当たり触り
あたりまえ	あたりまえ
あつかましい	厚かましい
あっけない	あっけない
あっぷりけ	アップリケ
あつぼったい	厚ぼったい
あつらえる	あつらえる
あてこすり	当てこすり
あてこする	あてこする
あてつける	あてつける
あてはずれ	当てはずれ
あてはまる	あてはまる
あてはめる	あてはめる
あてられる	あてられる
あどけない	あどけない
あとのまつり	あとの祭り
あなうんす	アナウンス
あなをあける	穴をあける
あばきだす	あばき出す
あばずれおんな	あばずれ女
あぶながる	あぶながる
あぶらあげ	あぶらあげ
あぶらぜみ	あぶらぜみ
あぶらむし	あぶらむし
あぶらをしぼる	油をしぼる
あぶりだし	あぶり出し
あぶりだす	あぶり出す
あふれだす	あふれ出す
あふれでる	あふれ出る
あまがえる	あまがえる
あまずっぱい	甘酸っぱい
あまちゅあ	アマチュア
あまつさえ	あまつさえ
あまったるい	甘ったるい
あまやかす	あまやかす
あみあげぐつ	編み上げ靴
あみあげる	編みあげる
あらいざらし	洗いざらし
あらいさらす	洗いさらす
あらいたてる	洗い立てる
あらかじめ	あらかじめ
ありあわせ	あり合わせ
ありあわせ	有り合わせ
ありがたい	ありがたい
ありがとう	ありがとう
ありきたり	ありきたり
ありったけ	ありったけ
ありのまま	ありのまま
ありふれた	ありふれた
ありふれる	ありふれる
あるかりせい	アルカリ性
あるきまわる	歩きまわる
あるこおる	アルコール
あるばいと	アルバイト
あるまいと	アルマイト
あれはてる	荒れ果てる
あれるぎい	アレルギー
あわだてる	あわだてる
あわよくば	あわよくば
あんけえと	アンケート
あんこおる	アンコール
あんちゃん	あんちゃん
あんぱいあ	アンパイア
あんもにあ	アンモニア
いあわせる	居合わせる
いいあらわす	言い表わす
いいかえる	言い換える
いいかかえる	言い換える
いいがかり	言いがかり
いいかける	言いかける
いいかげん	いいかげん
いいかわす	言い交わす
いいしれる	言い知れる
いいすぎる	言い過ぎる
いいすてる	言い捨てる
いいたてる	言い立てる
いいちがえる	言い違える
いいつかる	言い付かる
いいつける	言い付ける
いいつたえる	言い伝える
いいなずけ	いいなづけ
いいなれる	言いなれる
いいなれる	言い慣れる
いいにくい	言いにくい
いいぬける	言い抜ける
いいふくめる	言い含める
いいふらす	言いふらす
いいまかす	言い負かす
いいまくる	言いまくる
いいまわし	言いまわし
いいもらし	言い漏らし
いいもらす	言いもらす
いいよどむ	言いよどむ
いえのころうとう	家の子郎党
いがぐりあたま	いがぐり頭
