あいすくりいむ	アイスクリーム
あおだいしょう	あおだいしょう
あかしをたてる	あかしを立てる
あこおでぃおん	アコーディオン
あとらくしょん	アトラクション
あにはからんや	あにはからんや
あるふぁべっと	アルファベット
あわてふためく	あわてふためく
あんだあしゃつ	アンダーシャツ
あんだあらいん	アンダーライン
いうまでもなく	言うまでもなく
いそぎんちゃく	いそぎんちゃく
いたたまれない	居たたまれない
いんたあびゅう	インタービュー
うえすとらいん	ウエストライン
うっちゃらかす	うっちゃらかす
うらやましがる	うらやましがる
えすかれえたあ	エスカレーター
おおそどっくす	オーソドックス
おかくれになる	おかくれになる
おかみさん	おかみ(さん)
おじいさん	（お)じいさん
おたまじゃくし	おたまじゃくし
おちつきう	落ち着きはらう
おばあさん	（お)ばあさん
かあねえしょん	カーネーション
があるふれんど	ガールフレンド
かくてるどれす	カクテルドレス
かなぐりすてる	かなぐり棄てる
きのみきのまま	着のみ着のまま
きゃっちぼおる	キャッチボール
くらいまっくす	クライマックス
くろおずあっぷ	クローズアップ
こいねがわくは	こいねがわくは
こましゃくれる	こましゃくれる
こみんふぉるむ	コミンフォルム
こんでぃしょん	コンディション
こんぷれっくす	コンプレックス
さそいあわせる	さそい合わせる
さんたくろおす	サンタクロース
さんどうぃっち	サンドウィッチ
しかつめらしい	しかつめらしい
しかのみならず	しかのみならず
しちめんちょう	しちめんちょう
しなだれかかる	しなだれかかる
しねますこおぷ	シネマスコープ
じゃあなりすと	ジャーナリスト
じゃあなりずむ	ジャーナリズム
じゃがたらいも	じゃがたらいも
しゃくりあげる	しゃくりあげる
しゃべりたてる	しゃべりたてる
じゃんけんぽん	ジャンケンポン
すちゅわあです	スチュワーデス
すぽおつしゃつ	スポーツシャツ
せろはんてえぷ	セロハンテープ
せんせえしょん	センセーション
せんちめえとる	センチメートル
せんちめんたる	センチメンタル
たいとすかあと	タイトスカート
たいぷらいたあ	タイプライター
ちゃんちゃんこ	ちゃんちゃんこ
ちゅういんがむ	チューインガム
つくつくぼうし	つくつくぼうし
つづりあわせる	つづり合わせる
つなぎあわせる	つなぎ合わせる
でぃいぜるきかん	ディーゼル機関
でふれえしょん	デフレーション
てらしあわせる	照らし合わせる
なのりをあげる	名乗りをあげる
にたりよったり	にたりよったり
にたりよったり	似たりよったり
にゅうふぇいす	ニューフェイス
にらみあわせる	にらみ合わせる
ぬきさしならない	抜差しならない
ねっくぽいんと	ネックポイント
のたうちまわる	のたうちまわる
のっびきならぬ	のっぴきならぬ
のんべんだらり	のんべんだらり
はいずりまわる	はいずりまわる
ばすとぽいんと	バストポイント
ぱんぐりっしゅ	パングリッシュ
ひきずりまわす	ひきずりまわす
ぴけっと	ピケット・ピケ
ひっつかまえる	ひっつかまえる
ひょっとすると	ひょっとすると
ぴんちひったあ	ピンチヒッター
ふきさらされる	吹きさらされる
ぷらすてぃっく	プラスティック
ぷらすまいなす	プラスマイナス
ぷらっとほおむ	プラットホーム
ぷろでゅうさあ	プロデューサー
ふんぞりかえる	ふんぞりかえる
ぼすとんばっぐ	ボストンバッグ
まんじゅしゃげ	まんじゅしゃげ
むしゃぶりつく	むしゃぶりつく
むやみやたらに	むやみやたらに
めぐりあわせる	めぐり合わせる
めっせんじゃあ	メッセンジャー
めんたるてすと	メンタルテスト
もおたあぼおと	モーターボート
もんしろちょう	もんしろちょう
よんどころない	よんどころない
らっしゅあわあ	ラッシュアワー
りとますしけんし	リトマス試験紙
りゅっくさっく	リュックサック
るぽるたあじゅ	ルポルタージュ
