ああくとう,アーク燈
あいうち,あい打ち
あいかわらず,相変らず
あいくち,あいくち
あいさつ,あいさつ
あいであ,アイデア
あいにく,あいにく
あいのこ,あいのこ
あいのり,合い乗り
あいひとしい,相等しい
あいまい,あいまい
あいみたがい,相身互い
あいらしい,愛らしい
あいろん,アイロン
あおうめ,あおうめ
あおぎみる,仰ぎ見る
あおぎり,あおぎり
あおざめる,青ざめる
あおだけ,あおだけ
あおのく,あおのく
あおのけ,あおのけ
あおむき,あお向き
あおむく,あおむく
あおむけ,あお向け
あおむし,あおむし
あおやぎ,あおやぎ
あかがね,あかがね
あかさびる,赤錆びる
あかしあ,アカシア
あかちゃん,赤ちゃん
あかまつ,あかまつ
あがめる,あがめる
あからがお,あから顔
あきかん,空きカン
あきない,あきない
あきびん,空きびん
あきらめ,あきらめ
あきれる,あきれる
あきんど,あきんど
あくせく,あくせく
あくせんくとう,悪戦苦闘
あくどい,あくどい
あくまで,あくまで
あぐむ,−あぐむ
あくるあさ,あくる朝
あくるとし,あくる年
あくるひ,あくる日
あけくれ,明け暮れ
あげさげ,上げ下げ
あけたて,あけたて
あけぼの,あけぼの
あけわたし,明け渡し
あけわたす,明け渡す
あけわたる,明け渡る
あこがれ,あこがれ
あごひげ,あごひげ
あさがお,あさがお
あざけり,あざけり
あざけり,あざけり
あざける,あざける
あざける,あざける
あさって,あさって
あさっぱら,朝っぱら
あざとい,あざとい
あさはか,あさはか
あさましい,浅ましい
あさまだき,朝まだき
あざむく,あざむく
あざやか,あざやか
あざらし,あざらし
あしがかり,足がかり
あじさい,あじさい
あしだまり,足だまり
あしならし,足ならし
あしらい,あしらい
あしらう,あしらう
あしらう,あしらう
あずかる,あずかる
あせみずく,汗みずく
あせみどろ,汗みどろ
あそびあいて,遊び相手
あそびはんぶん,遊び半分
あたかも,あたかも
あたふた,あたふた
あたまごなし,頭ごなし
あたりさわり,当り障り
あちこち,あちこち
あつくるしい,暑苦しい
あっさり,あっさり
あっぱれ,あっぱれ
あつれき,あつれき
あてがう,あてがう
あてこむ,当てこむ
あてずいりょう,当て推量
あてつけ,当てつけ
あてっこ,当てっこ
あてもの,当てもの
あでやか,あでやか
あとかたづけ,後片付け
あとがま,あとがま
あとぐされ,後ぐされ
あとずさり,後ずさり
あとづける,跡づける
あとまわし,後まわし
あともどり,後もどり
あとりえ,アトリエ
あながち,あながち
あながち,あながち
あなどり,あなどり
あなどる,あなどる
あねもね,アネモネ
あのかた,あのかた
あぱあと,アパート
あばずれ,あばずれ
あばらぼね,あばら骨
あばらや,あばらや
あばれる,あばれる
あばれんぼう,暴れん坊
あびせる,浴びせる
あふがん,アフガン
あぶない,あぶない
あぶなげ,あぶなげ
あぶらな,あぶらな
あふりか,アフリカ
あふれでる,溢れ出る
あふれる,あふれる
あぶれる,あぶれる
あべこべ,あべこべ
あべこべ,あべこべ
あべっく,アベック
あべっく,アベック
あまえる,あまえる
あまがき,あまがき
あまがける,天駆ける
あまざらし,雨ざらし
あまねく,あまねく
あまんずる,甘んずる
あみだす,編み出す
あめあがり,雨上がり
あめえば,アメーバ
あめりか,アメリカ
あやかる,あやかる
あやつりにんぎょう,操り人形
あやつる,あやつる
あやふや,あやふや
あやまる,あやまる
あゆみあい,歩み合い
あゆみあう,歩み合う
あゆみよる,歩み寄る
あらあらしい,荒々しい
あらいだて,洗い立て
あらいばり,洗い張り
あらかた,あらかた
あらくれる,荒くれる
あらけずり,荒けずり
あらごなし,荒ごなし
あらごなし,荒ごなし
あらさがし,あら探し
あらすじ,あらすじ
あらたか,あらたか
あらだてる,荒立てる
あらっぽい,荒っぽい
あらびあ,アラビア
あらまし,あらまし
あらゆる,あらゆる
あらわれる,現われる
ありあまる,有り余る
ありあり,ありあり
ありかた,ありかた
ありがち,ありがち
ありたけ,ありたけ
ありつく,ありつく
ありばい,アリバイ
あるいは,あるいは
あるかり,アルカリ
あるばむ,アルバム
あれこれ,あれこれ
あれしき,あれしき
あれほど,あれほど
あれもよう,荒れ模様
あわせる,合わせる
あわだつ,あわだつ
あわてもの,あわて者
あわてる,あわてる
あわれむ,あわれむ
あわれむ,あわれむ
あんぐり,あんぐり
あんころ,あんころ
あんずるに,案ずるに
あんぜんちたい,安全地帯
あんてな,アンテナ
あんぺあ,アンペア
あんまり,あんまり
いいあい,言い合い
いいあう,言い合う
いいあやまり,言い誤り
いいあやまる,言い誤る
いいあやまる,言い誤る
いいおく,言い置く
いいおくる,言い送る
いいおとす,言い落す
いいかえ,言い換え
いいかえし,言い返し
いいかえす,言い返す
いいかけ,言いかけ
いいかげん,いい加減
いいきみ,いい気味
いいきる,言い切る
いいしぶる,言い渋る
いいすぎ,言い過ぎ
いいそこない,言い損い
いいだす,言い出す
いいちがい,言い違い
いいつくす,言い尽す
いいつけ,言い付け
いいつたえ,言い伝え
いいとおす,言い通す
いいなおし,言い直し
いいなおす,言い直す
いいなおす,言い直す
いいなり,言いなり
いいぬけ,言いぬけ
いいのがれ,言い逃れ
いいのこす,言い残す
いいはなつ,言い放つ
いいはる,言い張る
いいひらき,言い開き
いいふるす,言い古す
いいよる,言い寄る
いいよる,言い寄る
いいわたし,言い渡し
いいわたす,言い渡す
いえども,いえども
いかさま,いかさま
