ああむほおる,アームホール
あおりたてる,あおりたてる
あかしくらす,明かし暮らす
あがりさがり,上がり下がり
あきれはてる,あきれ果てる
あくせさりい,アクセサリー
あぐらをかく,あぐらをかく
あけっぱなし,あけっぱなし
あじてえたあ,アジテーター
あすふぁると,アスファルト
あたりさわり,あたりさわり
あたりちらす,あたりちらす
あちらこちら,あちらこちら
あつらえむき,あつらえ向き
あてがいぶち,宛てがい扶持
あてずっぽう,当てずっぽう
あどばるうん,アドバルーン
あなうんさあ,アナウンサー
あまったれる,あまったれる
あまのじゃく,あまのじゃく
あらいざらい,あらいざらい
あられもない,あられもない
ありあわせる,あり合わせる
あるみにうむ,アルミニウム
あれよあれよ,あれよあれよ
あわただしい,あわただしい
あんさんぶる,アンサンブル
あんばらんす,アンバランス
いいきかせる,言い聞かせる
いいくるめる,言いくるめる
いいそこなう,言いそこなう
いいそびれる,言いそびれる
いいつくろう,言いつくろう
いいつくろう,言いつくろう
いいならわし,言いならわし
いいのがれる,言い逃がれる
いいはぐれる,言いはぐれる
いかがわしい,いかがわしい
いきあわせる,行き合わせる
いきながらえる,生き永らえる
いきわかれる,生き別かれる
いじきたない,意地きたない
いたれりつくせり,至れり尽せり
いっきょしゅいっとうそく,一挙手一投足
いってんばんじょうのきみ,一天万乗の君
いでおろぎい,イデオロギー
いにしあちぶ,イニシアチブ
いにしあちぶ,イニシアチブ
いまいましい,いまいましい
いまいましい,いまいましい
いらっしゃる,いらっしゃる
いらっしゃる,いらっしゃる
いわずかたらず,言わず語らず
いんげんまめ,いんげんまめ
いんでぃあん,インディアン
いんどねしあ,インドネシア
いんぽてんつ,インポテンツ
ういいくでえ,ウイークデー
うええとれす,ウエートレス
うかびあがる,浮かび上がる
うじゃうじゃ,うじゃうじゃ
うじゃうじゃ,うじゃうじゃ
うちあわせる,打ち合わせる
うっとうしい,うっとうしい
うつらうつら,うつらうつら
うまれおちる,生まれ落ちる
うまれかわる,生まれ変わる
うまれかわる,生まれ変わる
うめあわせる,埋め合わせる
うやうやしい,うやうやしい
うらやましい,うらやましい
ええびいしい,エービーシー
えがらっぽい,えがらっぽい
えきすぱあと,エキスパート
えすぺらんと,エスペラント
えとらんじぇ,エトランジェ
えれべえたあ,エレベーター
おいかぶさる,おいかぶさる
おいてきぼり,置いてきぼり
おいてけぼり,置いてけぼり
おいてけぼり,置いてけぼり
おおけすとら,オーケストラ
おおとさんりんしゃ,オート三輪車
おおとみいる,オートミール
おおるすたあ,オールスター
おこがましい,おこがましい
おさえつける,押さえつける
おそかれはやかれ,遅かれ早かれ
おためごかし,おためごかし
おちこぼれる,落ちこぼれる
おっつかっつ,おっつかっつ
おとしいれる,おとしいれる
おとしいれる,おとし入れる
おびきよせる,おびき寄せる
おびきよせる,おびき寄せる
おびただしい,おびただしい
おぶざあばあ,オブザーバー
おぼつかない,おぼつかない
おまわりさん,おまわりさん
おめずおくせず,怯めず臆せず
おめにかかる,お目にかかる
おもいあわせる,思い合わせる
おもいうかべる,思い浮かべる
おもいがけない,思いがけない
おもいめぐらす,思いめぐらす
おもいもよらず,思いもよらず
おもんぱかり,おもんぱかり
おもんばかる,おもんばかる
おりんぴっく,オリンピック
おりんぴっく,オリンピック
があたああみ,ガーター編み
かあでぃがん,カーディガン
かいがいしい,かいがいしい
かきそこなう,書きそこなう
かくれんぼう,かくれんぼう
がしゃがしゃ,がしゃがしゃ
かたじけない,かたじけない
がたんごとん,がたんごとん
かちゃかちゃ,かちゃかちゃ
がちゃがちゃ,がちゃがちゃ
かねにあかせる,金に飽かせる
かみあわせる,かみ合わせる
かみきりむし,かみきりむし
かめのこだわし,亀の子だわし
からみつける,からみつける
かりきゅらむ,カリキュラム
かわいらしい,かわいらしい
かわりがわり,かわりがわり
かわりはてる,変わり果てる
かわるがわる,かわるがわる
かんがえあわせる,考え合わせる
かんぷなきまで,完膚無きまで
ききあわせる,聞き合わせる
ききおぼえる,聞きおぼえる
ききとがめる,聞きとがめる
ききとがめる,聞きとがめる
きづかわしい,気づかわしい
きむずかしい,気むずかしい
きゃっちゃあ,キャッチャー
きゃんぴんぐ,キャンピング
きゅっきゅっ,きゅっきゅっ
ぎょっとする,ぎょっとする
きょときょと,きょときょと
きょろきょろ,きょろきょろ
ぎょろぎょろ,ぎょろぎょろ
きりそろえる,切りそろえる
きろめえとる,キロメートル
きろりっとる,キロリットル
くいはぐれる,食いはぐれる
くくりつける,くくりつける
くしゃくしゃ,くしゃくしゃ
ぐしゃぐしゃ,ぐしゃぐしゃ
くすぐったい,くすぐったい
くずれおちる,くずれ落ちる
くだくだしい,くだくだしい
くちはっちょうてはっちょう,口八丁手八丁
くちはばったい,口はばったい
くちやかましい,口やかましい
くちゃくちゃ,くちゃくちゃ
ぐちゃぐちゃ,ぐちゃぐちゃ
くってかかる,食ってかかる
くってかかる,食ってかかる
ぐでんぐでん,ぐでんぐでん
くどくどしい,くどくどしい
ぐにゃぐにゃ,ぐにゃぐにゃ
くみあわせる,組み合わせる
くりあわせる,くりあわせる
くりいにんぐ,クリーニング
くりすちゃん,クリスチャン
けえぶるかあ,ケーブルカー
けがらわしい,けがらわしい
けたたましい,けたたましい
けばけばしい,けばけばしい
けんもほろろ,けんもほろろ
こいこがれる,恋いこがれる
こうつうあんぜんげっ,交通安全月間
ごおすとっぷ,ゴーストップ
こおるたある,コールタール
こおるたある,コールタール
ごきげんよう,ごきげんよう
こすりつける,こすりつける
ごちっくかつじ,ゴチック活字
ごちゃごちゃ,ごちゃごちゃ
こむずかしい,こむずかしい
こらえきれる,こらえきれる
これくしょん,コレクション
ころがりこむ,ころがり込む
ころげおちる,ころげ落ちる
こんがらかる,こんがらかる
こんくりいと,コンクリート
こんとろおる,コントロール
さあちらいと,サーチライト
さいわいする,さいわいする
さきおととし,さきおととし
さしうつむく,さしうつむく
さしつかえる,さしつかえる
さしでがましい,差出がましい
さしひかえる,さしひかえる
さそいかける,さそいかける
さそいよせる,さそい寄せる
ざっくばらん,ざっくばらん
さらりいまん,サラリーマン
じぇすちゅあ,ジェスチュア
しかりつける,しかりつける
しかりとばす,しかりとばす
しじゅうから,しじゅうから
したいふじゅうじ,肢体不自由児
したてあがる,仕立てあがる
しだれやなぎ,しだれやなぎ
じたんだをふむ,地団太を踏む
しったかぶり,知ったかぶり
じっぱひとからげ,十把一からげ
しっぺいがえし,しっぺい返し
しどろもどろ,しどろもどろ
しにおくれる,死におくれる
しにそこなう,死にそこなう
しにものぐるい,死にもの狂い
しにわかれる,死に別かれる
しばりあげる,しばりあげる
しばりつける,しばりつける
しぼりあげる,しぼりあげる
しめしあわせる,示し合わせる
しゃあしゃあ,しゃあしゃあ
じゃあじゃあ,じゃあじゃあ
しゃがみこむ,しゃがみこむ
じゃぶじゃぶ,じゃぶじゃぶ
しゃらくさい,しゃらくさい
じゃらじゃら,じゃらじゃら
じゃらじゃら,じゃらじゃら
じゃりじゃり,じゃりじゃり
じゃりじゃり,じゃりじゃり
しゃれこうべ,しゃれこうべ
しゃんしゃん,しゃんしゃん
じゃんじゃん,じゃんじゃん
しゅうしゅう,しゅうしゅう
じゅうじゅう,じゅうじゅう
しょっちゅう,しょっちゅう
しょぼしょぼ,しょぼしょぼ
しょぼしょぼ,しょぼしょぼ
しらずしらず,知らず知らず
しらばくれる,しらばくれる
しらみつぶし,しらみつぶし
しんじゅがい,しんじゅがい
しんふぉにい,シンフォニー
しんみりする,しんみりする
すがすがしい,すがすがしい
