	101	22133909	701485	786813	919228	1210133	1409463	1208578	1049526	1091445	1984623	2237129	2392960	2487695	2294897	2359934	332311	14022	15429	17146	21312	25136	23139	22580	25404	29787	27731	28380	29957	25999	26289
、	102	17415352	971986	971022	1041968	1303515	1371599	1342297	1165545	1146238	1286697	1320467	1365516	1412213	1350020	1366269	15266633	882868	874817	937982	1158101	1217775	1188700	1028706	1016779	1127783	1139956	1176202	1208479	1150457	1158028
。	103	11073168	542138	553900	594156	762278	815929	794885	720605	741285	844231	877299	917529	964995	952852	991086	10370238	510725	522786	559585	713590	765180	744548	674873	694299	792829	821837	859286	899095	889073	922532
，	104	143393	1156	7536	8503	8801	12179	14105	12133	10160	15905	9459	11364	12682	9851	9559	7086	568	593	575	1236	1369	1004	741	469	78	107	113	72	95	66
．	105	586835	17261	24536	34661	40850	39157	46025	53090	47816	28868	49257	53800	49321	49860	52333	137708	15587	15543	16562	17527	17964	16647	13233	15686	1125	1295	1280	1417	1828	2014
・	106	1763258	61934	63229	76868	108458	123127	127492	126167	119762	148607	153213	157874	169162	159698	167667	1004971	44881	43617	48017	65400	73079	72489	70291	72100	86815	87933	85845	86139	82988	85377
：	107	56828	22	68	273	273	311	469	304	425	3540	9299	9553	9940	10028	12323	2220	4	16	140	68	44	57	40	86	158	227	219	353	396	412
；	108	21	0	1	3	2	0	1	0	2	3	2	4	0	3	0	8	0	1	0	0	0	0	0	2	0	1	2	0	2	0
？	109	44487	1057	1167	1693	2566	2819	3164	5991	2065	2923	3315	3216	4380	4467	5664	18259	477	510	697	1170	1355	1276	853	824	1423	1611	1557	2054	2019	2433
！	110	17603	336	408	489	950	1284	1382	1059	1058	1228	1562	1714	1910	2079	2144	9946	188	254	282	545	740	811	579	650	710	895	960	1034	1126	1172
゛	111	45	1	1	3	0	0	14	1	1	0	0	24	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
゜	112	80	0	0	5	5	2	5	6	4	1	26	11	12	0	3	12	0	0	0	1	0	0	4	0	1	5	0	0	0	1
´	113	462	84	87	104	104	30	15	24	0	12	2	0	0	0	0	277	69	57	75	53	6	11	3	0	1	2	0	0	0	0
｀	114	21	0	0	0	5	1	3	1	0	11	0	0	0	0	0	3	0	0	0	1	0	1	1	0	0	0	0	0	0	0
¨	115	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
＾	116	16707	377	634	1438	1038	2051	892	795	1560	1164	1173	1347	1270	1847	1121	10909	323	470	1184	722	1666	607	520	1167	760	604	767	620	1032	467
‾	117	33	0	0	0	0	0	0	0	0	0	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
＿	118	311	0	0	294	0	0	0	0	0	1	0	6	5	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ヽ	119	17	0	0	0	0	0	1	2	4	3	0	1	2	3	1	4	0	0	0	0	0	0	2	0	1	0	0	0	0	1
ヾ	120	4	0	0	0	0	0	0	0	1	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ゝ	121	540	15	18	18	12	56	37	17	19	51	66	48	63	58	62	173	7	7	12	3	20	18	9	5	18	18	8	17	17	14
ゞ	122	1956	116	75	95	112	77	67	92	146	177	172	217	237	167	206	1199	92	55	72	73	49	54	60	88	110	95	126	130	88	107
〃	123	20486	8	345	626	1145	1612	3153	2309	1245	1910	1568	2327	1449	1514	1275	54	1	15	1	1	9	15	2	3	1	1	0	0	2	3
