だいがく	13
在学	ざいがく
声楽	せいがく
退学	たいがく
低額	ていがく
停学	ていがく
定額	ていがく
倍額	ばいがく
大黒	だいこく
代作	だいさく
代読	だいどく
大福	だいふく
題目	だいもく
代役	だいやく

かりょく	48
威力	いりょく
気力	きりょく
主力	しゅりょく
助力	じょりょく
死力	しりょく
視力	しりょく
資力	しりょく
磁力	じりょく
惰力	だりょく
知力	ちりょく
努力	どりょく
微力	びりょく
浮力	ふりょく
武力	ぶりょく
魅力	みりょく
無力	むりょく
余力	よりょく
家屋	かおく
価格	かかく
家格	かかく
化学	かがく
価額	かがく
科学	かがく
歌曲	かきょく
箇国	かこく
苛酷	かこく
過酷	かこく
佳作	かさく
家作	かさく
呵責	かしゃく
家塾	かじゅく
加速	かそく
家族	かぞく
華族	かぞく
家畜	かちく
家督	かとく
禍福	かふく
寡黙	かもく
科目	かもく
加薬	かやく
火薬	かやく
課役	かやく
寡欲	かよく
渇く	かわく
乾く	かわく
管区	かんく
下僚	かりょう
科料	かりょう

あるく	13
キルク	きるく
コルク	こるく
マルク	まるく
ミルク	みるく
あがく	あがく
揚げ句	あげく
あばく	あばく
あぶく	あぶく
歩き	あるき
あるじ	あるじ
アルト	あると
α	あるふぁ
アルミ	あるみ

