佑一	12
帰一	きいつ
均一	きんいつ
合一	ごういつ
純一	じゅんいつ
随一	ずいいち
専一	せんいつ
第一	だいいち
単一	たんいつ
逐一	ちくいち
統一	とういつ
同一	どういつ
唯一	ゆいいつ

佑三	2
再三	さいさん
二三	にさん

佑二	2
一二	いちに
無二	むに

佑介	5
魚介	ぎょかい
紹介	しょうかい
仲介	ちゅうかい
媒介	ばいかい
厄介	やっかい

佑光	24
威光	いこう
稲光	いなびかり
栄光	えいこう
感光	かんこう
観光	かんこう
眼光	がんこう
脚光	きゃっこう
極光	きょっこう
螢光	けいこう
月光	げっこう
後光	ごこう
採光	さいこう
遮光	しゃこう
消光	しょうこう
曙光	しょこう
燭光	しょっこう
閃光	せんこう
電光	でんこう
日光	にっこう
発光	はっこう
微光	びこう
風光	ふうこう
陽光	ようこう
燐光	りんこう

佑司	5
行司	ぎょうじ
下司	げす
公司	こうし
上司	じょうし
曹司	ぞうし

佑吉	1
不吉	ふきつ

佑太	5
先太	さきぶと
心太	ところてん
肉太	にくぶと
筆太	ふでぶと
丸太	まるた

佑子	67
赤子	あかご
椅子	いす
因子	いんし
氏子	うじこ
王子	おうじ
親子	おやこ
碍子	がいし
菓子	かし
甲子	きのえね
餃子	ぎょおざ
金子	きんす
君子	くんし
継子	けいし
原子	げんし
格子	こうし
孝子	こうし
骨子	こっし
妻子	さいし
才子	さいし
冊子	さっし
里子	さとご
嗣子	しし
実子	じっし
杓子	しゃくし
種子	しゅし
繻子	しゅす
障子	しょうじ
庶子	しょし
女子	じょし
親子	しんし
末子	すえこ
末子	すえっこ
厨子	ずし
扇子	せんす
太子	たいし
団子	だんご
男子	だんし
嫡子	ちゃくし
調子	ちょうし
銚子	ちょうし
長子	ちょうし
妻子	つまこ
梃子	てこ
弟子	でし
天子	てんし
電子	でんし
年子	としご
鳴子	なるこ
梯子	はしご
末子	ばっし
拍子	ひょうし
父子	ふし
分子	ぶんし
胞子	ほうし
帽子	ぼうし
母子	ぼし
馬子	まご
末子	まっし
継子	ままこ
息子	むすこ
面子	めんつ
養子	ようし
楊子	ようじ
様子	ようす
呼子	よびこ
利子	りし
粒子	りゅうし

佑次	11
一次	いちじ
今次	こんじ
順次	じゅんじ
席次	せきじ
漸次	ぜんじ
逐次	ちくじ
途次	とじ
年次	ねんじ
目次	もくじ
累次	るいじ
路次	ろじ

佑治	13
根治	こんじ
根治	こんち
自治	じち
主治	しゅじ
政治	せいじ
全治	ぜんじ
全治	ぜんち
退治	たいじ
湯治	とうじ
統治	とうち
法治	ほうち
明治	めいじ
療治	りょうじ

佑爾	1
莞爾	かんじ

佑輔	0

佑香	4
色香	いろか
焼香	しょうこう
線香	せんこう
芳香	ほうこう

侑三	2
再三	さいさん
二三	にさん

侑司	5
行司	ぎょうじ
下司	げす
公司	こうし
上司	じょうし
曹司	ぞうし

侑子	67
赤子	あかご
椅子	いす
因子	いんし
氏子	うじこ
王子	おうじ
親子	おやこ
碍子	がいし
菓子	かし
甲子	きのえね
餃子	ぎょおざ
金子	きんす
